id,user,id,followers_count,indegree,outdegree,Degree,eigencentrality,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity,color
208,@incindia,208,,2,0,2,0.003592,6,5,0,5,0,0,0,0,0.000695, 5 - 9,FALSE
209,@qualityinfo2017,209,450,0,1,1,0,5,0,1,1,4,0.366667,0.416667,0,0.000446, 5 - 9,FALSE
210,@undp_sdgs,210,894,5,2,7,0.008177,5,5,8,13,3,0.526316,0.583333,50,0.00216, 5 - 9,FALSE
211,@kraus33,211,533,0,8,8,0,7,0,8,8,3,0.64,0.739583,0,0.000446, 5 - 9,FALSE
212,@federalreserve,212,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
213,@bis_org,213,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
214,@ecb,214,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
215,@bankofengland,215,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
216,@centralbank_ie,216,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
217,@newyorkfed,217,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
218,@ugle_grandlodge,218,,1,0,1,0.001635,7,1,0,1,0,0,0,0,0.000493, 5 - 9,FALSE
219,@anwar96599668,219,1343,0,6,6,0,11,0,6,6,3,0.608696,0.702381,0,0.000446,10 - 14,#75FFF7
220,@prayag,220,86809,0,4,4,0,6,0,6,6,3,0.571429,0.652778,0,0.000446, 5 - 9,FALSE
221,@sirp_nigeria,221,634,1,6,7,0.00199,13,11,11,22,3,0.571429,0.641667,0,0.00049,10 - 14,#75FFF7
