Interest in being stationed in the US,Proficient in physical training exercises,Able to appropriately utilize survival skills learned in SERE,Proficiency in multiple languages,Experience leading missions,Experience leading night missions,Academic performance,Ability to exercise medical training in the field
100,100,100,100,100,100,100,100
81,76,87,92,83,93,32,87
4,37,63,35,63,62,61,36
41,,,,59,74,45,58
63,66,68,59,100,37,63,35
100,80,100,100,93,81,75,92
100,60,100,12,100,100,31,25
85,80,78,85,92,79,90,81
100,63,67,35,100,75,36,63
92,96,99,98,98,94,96,93
29,45,44,46,46,67,65,39
80,60,73,37,68,100,25,44
76,19,72,22,24,100,32,81
56,,,,69,79,43,59
66,,,,61,65,32,53
50,50,80,25,90,90,20,90
84,63,77,57,75,75,75,75
67,18,79,90,76,66,28,78
100,,,,88,100,4,93
74,77,68,85,64,82,69,80
100,35,100,63,100,43,53,98
100,30,74,51,98,100,52,100
73,67,72,50,100,67,78,59
50,50,50,39,72,87,33,61
94,100,77,20,100,100,1,73
70,39,80,70,77,100,7,100
83,77,93,85,77,84,95,87
95,86,92,94,99,94,97,92
69,75,74,73,61,86,87,80
93,36,78,57,78,71,25,68
51,69,29,49,26,92,15,75
68,71,68,75,76,64,66,73
70,85,83,71,73,64,67,66
78,30,71,73,75,75,76,71
72,34,92,18,67,100,44,80
90,88,76,84,97,82,49,64
81,72,62,82,97,50,53,75
98,81,88,95,89,86,90,89
72,75,83,64,81,75,23,69
72,77,82,84,75,80,87,83
93,63,89,44,61,50,44,57
64,,,,75,78,18,63
50,50,50,50,50,50,50,50
73,79,17,100,96,100,66,100
67,30,17,30,73,77,72,71
57,38,65,60,66,63,67,58
96,99,93,99,99,100,95,98
100,64,100,100,100,100,24,100
72,41,97,36,100,100,37,75
69,73,76,68,54,91,22,89
93,94,98,97,96,94,98,92
83,71,50,71,68,63,47,62
80,79,71,51,39,68,62,42
73,22,66,61,78,100,21,88
100,100,100,100,100,100,100,100
75,71,79,72,82,71,84,84
80,83,80,78,82,83,76,80
73,31,80,28,30,30,33,71
78,77,66,65,76,75,30,64
100,100,100,74,100,100,30,100
64,59,66,64,41,65,60,41
52,33,64,56,81,100,50,50
55,61,58,60,60,53,52,61
95,97,97,91,96,97,97,97
57,,,,61,59,57,58
100,100,100,100,100,100,30,100
91,86,84,90,88,85,92,89
90,87,79,74,83,87,79,72
96,96,95,99,92,92,91,93
100,100,100,100,100,100,100,99
